start_station_name,end_station_name,subscriber_trips
Mountain View Caltrain Station,San Antonio Shopping Center,138
Mountain View Caltrain Station,San Antonio Caltrain Station,95
Charleston Park/ North Bayshore Area,Mountain View Caltrain Station,93
San Antonio Shopping Center,Mountain View Caltrain Station,85
Mountain View Caltrain Station,Charleston Park/ North Bayshore Area,83
