start_station_name,end_station_name,subscriber_trips
Japantown,San Jose Diridon Caltrain Station,212
San Jose Diridon Caltrain Station,Japantown,180
San Jose Diridon Caltrain Station,San Jose City Hall,125
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,96
SJSU - San Salvador at 9th,San Jose Diridon Caltrain Station,87
