start_station_name,end_station_name,subscriber_trips
Stanford in Redwood City,Redwood City Caltrain Station,152
Redwood City Caltrain Station,Stanford in Redwood City,100
Palo Alto Caltrain Station,Stanford in Redwood City,63
San Mateo County Center,Redwood City Caltrain Station,16
Stanford in Redwood City,Redwood City Public Library,11
