start_station_name,end_station_name,subscriber_trips
Park at Olive,Palo Alto Caltrain Station,223
California Ave Caltrain Station,University and Emerson,168
Cowper at University,California Ave Caltrain Station,120
California Ave Caltrain Station,Cowper at University,114
Park at Olive,University and Emerson,113
